ut	altitude	airspeed	aoa	drag	density	density_calc	density_calc_precise	temperature	temperature_calc	force_actual	force_predicted	force_predicted_cache
20330.6808849642	91822.3745140998	3160	179.766899590832	0	0	0	0	4	4	0.00607467931390705	0	0
20331.6808849642	91773.5558958485	3160	179.544229020082	0	0	0	0	4	4	0.00672409094817546	0	0
20332.6808849642	91723.7981234667	3160	179.316972980226	0	0	0	0	4	4	0.00684830895393519	0	0
20333.6808849642	91674.1489186992	3160	179.089696229278	0	0	0	0	4	4	0.00666007179014392	0	0
20334.6808849642	91624.527502841	3161	-179.664887577075	0	0	0	0	4	4	0.00652009315248943	0	0
20335.6808849643	91575.0150953061	3161	179.999989370604	0	0	0	0	4	4	0.00614584482577007	0	0
20336.6808849643	91525.5789011796	3161	179.998445668087	0	0	0	0	4	4	0.00614414893881053	0	0
20337.6808849643	91476.2219960006	3161	179.995126850438	0	0	0	0	4	4	0.00616112875720526	0	0
20338.6808849643	91426.9452122361	3161	179.993079505096	0	0	0	0	4	4	0.00680818231927611	0	0
20339.6808849644	91377.7518879414	3162	179.994751920689	0	0	0	0	4	4	0.00681316848124407	0	0
20340.6808849644	91328.6579020552	3162	179.994249908839	0	0	0	0	4	4	0.00670062471433324	0	0
20341.6808849644	91279.6465166871	3162	179.997160137085	0	0	0	0	4	4	0.00626880251169848	0	0
20342.6808849644	91230.7185491147	3162	179.996152315063	0	0	0	0	4	4	0.00640757683770854	0	0
20343.6808849644	91181.8572501979	3162	179.99577077935	0	0	0	0	4	4	0.00653968532915801	0	0
20344.6808849645	91133.081015674	3163	179.994718785819	0	0	0	0	4	4	0.00632345645102794	0	0
20345.6808849645	91084.3755969881	3163	179.992503454945	0	0	0	0	4	4	0.00667648380242182	0	0
20346.6808849645	91035.7895411251	3163	179.992792351752	0	0	0	0	4	4	0.00705114303447557	0	0
20347.6808849645	90987.2910113998	3163	179.995592463527	0	0	0	0	4	4	0.00682594151801987	0	0
